id,urun kodu,deney no,uretim sakalasi
1,Y13,1,small
2,Y13,2,small
3,Y13,3,small
4,Y13,4,small
5,Y13,5,small
6,Y13,6,small
7,Y13,7,small
8,Y13,8,small
9,Y13,9,small
10,Y13,1,big
11,Y13,2,big
12,Y13,3,big
13,Y13,4,big
14,Y13,5,big
15,Y16,1,small
16,Y18,1,small
17,Y14,1,small
18,Y15,1,small
